k,ext_degree,hash,profile,schedule,rounds,proof_KB,prover_time,verifier_time
18,8,SHA3-256,base_arity-4,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2]",11,172.91,1.7197e+08,2.1229e+05
18,8,SHA3-256,base_arity-8,"[8, 8, 8, 8, 8, 8, 8]",7,164.34,1.6118e+08,1.7717e+05
19,8,SHA3-256,proof_size,"[8, 16, 16, 16, 16, 8]",6,201.81,3.2464e+08,2.0040e+05
19,8,SHA3-256,prover,"[8, 8, 16, 16, 16, 16]",6,205.56,3.2265e+08,2.0640e+05
19,8,SHA3-256,verifier,"[8, 16, 16, 16, 16, 8]",6,201.81,3.2464e+08,2.0040e+05
19,8,SHA3-256,balanced,"[8, 8, 16, 16, 16, 16]",6,205.56,3.2265e+08,2.0640e+05
19,8,SHA3-256,on_chain,"[16, 16, 16, 16, 8, 8]",6,198.06,3.4058e+08,1.9440e+05
19,8,SHA3-256,base_binary,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",22,299.81,5.2009e+08,4.1228e+05
19,8,SHA3-256,base_arity-4,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",11,186.03,3.4393e+08,2.3023e+05
19,8,SHA3-256,base_arity-8,"[8, 8, 8, 8, 8, 8, 8, 2]",8,174.69,3.2236e+08,1.9066e+05
20,8,SHA3-256,proof_size,"[8, 16, 16, 16, 16, 16]",6,221.50,6.4928e+08,2.1966e+05
20,8,SHA3-256,prover,"[8, 8, 8, 16, 32, 32]",6,257.12,6.4480e+08,2.5218e+05
20,8,SHA3-256,verifier,"[8, 16, 16, 16, 16, 16]",6,221.50,6.4928e+08,2.1966e+05
20,8,SHA3-256,balanced,"[8, 8, 16, 32, 16, 16]",6,238.38,6.4536e+08,2.3442e+05
20,8,SHA3-256,on_chain,"[8, 16, 16, 16, 16, 16]",6,221.50,6.4928e+08,2.1966e+05
20,8,SHA3-256,base_binary,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",23,324.22,1.0402e+09,4.4827e+05
20,8,SHA3-256,base_arity-4,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2]",12,200.12,6.8787e+08,2.4972e+05
20,8,SHA3-256,base_arity-8,"[8, 8, 8, 8, 8, 8, 8, 4]",8,185.00,6.4472e+08,2.0410e+05
21,8,SHA3-256,proof_size,"[8, 16, 32, 16, 16, 16]",6,253.38,1.2996e+09,2.4618e+05
21,8,SHA3-256,prover,"[8, 8, 8, 32, 32, 32]",6,289.94,1.2899e+09,2.8020e+05
21,8,SHA3-256,verifier,"[8, 16, 32, 16, 16, 16]",6,253.38,1.2996e+09,2.4618e+05
21,8,SHA3-256,balanced,"[8, 8, 16, 32, 32, 16]",6,272.12,1.2907e+09,2.6394e+05
21,8,SHA3-256,on_chain,"[16, 16, 16, 16, 16, 16]",6,236.50,1.3623e+09,2.3142e+05
21,8,SHA3-256,base_binary,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",24,349.56,2.0804e+09,4.8576e+05
21,8,SHA3-256,base_arity-4,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",12,214.19,1.3757e+09,2.6916e+05
21,8,SHA3-256,base_arity-8,"[8, 8, 8, 8, 8, 8, 8, 8]",8,199.06,1.2894e+09,2.2048e+05
22,8,SHA3-256,proof_size,"[8, 16, 32, 32, 16, 16]",6,286.19,2.5992e+09,2.7420e+05
22,8,SHA3-256,prover,"[8, 8, 16, 32, 32, 32]",6,306.81,2.5814e+09,2.9496e+05
22,8,SHA3-256,verifier,"[8, 16, 32, 32, 16, 16]",6,286.19,2.5992e+09,2.7420e+05
22,8,SHA3-256,balanced,"[8, 16, 32, 32, 16, 16]",6,286.19,2.5992e+09,2.7420e+05
22,8,SHA3-256,on_chain,"[16, 32, 16, 16, 16, 16]",6,267.44,2.7412e+09,2.5644e+05
22,8,SHA3-256,base_binary,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",25,375.84,4.1607e+09,5.2475e+05
22,8,SHA3-256,base_arity-4,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2]",13,229.22,2.7515e+09,2.9015e+05
22,8,SHA3-256,base_arity-8,"[8, 8, 8, 8, 8, 8, 8, 8, 2]",9,210.34,2.5789e+09,2.3547e+05
23,8,SHA3-256,proof_size,"[8, 16, 32, 32, 32, 16]",6,319.94,5.1985e+09,3.0372e+05
23,8,SHA3-256,prover,"[8, 8, 16, 32, 64, 32]",6,370.56,5.1629e+09,3.4650e+05
23,8,SHA3-256,verifier,"[8, 16, 32, 32, 32, 16]",6,319.94,5.1985e+09,3.0372e+05
23,8,SHA3-256,balanced,"[8, 8, 32, 32, 32, 32]",6,338.69,5.1709e+09,3.2148e+05
23,8,SHA3-256,on_chain,"[16, 32, 32, 16, 16, 16]",6,299.31,5.4834e+09,2.8296e+05
23,8,SHA3-256,base_binary,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",26,403.06,8.3215e+09,5.6524e+05
23,8,SHA3-256,base_arity-4,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",13,244.22,5.5029e+09,3.1109e+05
23,8,SHA3-256,base_arity-8,"[8, 8, 8, 8, 8, 8, 8, 8, 4]",9,221.59,5.1578e+09,2.5041e+05
