csv,air_type,air_w,air_constraints,label,k,schedule,proof_bytes,prove_s,verify_ms,prove_elems_per_s,delta_size_pct,delta_prove_pct,delta_verify_pct,delta_throughput_pct
csv,fib_w2_d2,2,1,16by16by8,18,[16,16,8,128],272368,1.471206,2.564,178183.018473,64.43,-7.80,312.01,8.46
csv,fib_w2_d2,2,1,16by16by8,19,[16,16,8,256],284656,2.956697,7.802,177322.209320,69.75,-7.39,1130.97,7.98
csv,fib_w2_d2,2,1,16by16by8,20,[16,16,8,512],309232,5.944105,27.920,176406.037143,81.76,-7.36,4043.79,7.95
csv,fib_w2_d2,2,1,16by16by8,21,[16,16,8,1024],408304,12.003883,108.941,174706.132854,105.91,-6.75,12985.32,7.24
csv,fib_w2_d2,2,1,16by16by8,22,[16,16,8,2048],506608,24.582251,430.993,170623.266824,149.53,-5.21,35047.22,5.50
csv,fib_w2_d2,2,1,16by16by8,23,[16,16,8,4096],703216,51.349217,1721.591,163363.893561,233.54,-2.26,67357.15,2.31
csv,fib_w2_d2,2,1,16by16by8,24,[16,16,8,8192],1096432,113.718257,6891.844,147533.179520,387.77,2.33,88091.62,-2.27
csv,fib_w2_d2,2,1,16by16by8,25,[16,16,8,16384],1932784,271.545810,27629.902,123568.218487,600.32,11.54,97557.76,-10.35
csv,poseidon_w16_d2,16,16,2power16,16,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2],137040,0.401077,0.537,163399.875491,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,2power16,17,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2],163792,0.799558,0.589,163930.674154,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,2power16,18,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4],165648,1.588356,0.611,165041.134096,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,2power16,19,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8],167696,3.169113,0.636,165436.820751,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,2power16,20,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,16],170128,6.396579,0.672,163927.613751,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,2power16,21,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,32],198288,12.761325,1.633,164336.537610,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,2power16,22,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,64],203024,25.629116,1.197,163653.869295,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,2power16,23,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,128],210832,52.115428,2.536,160962.085414,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,2power16,24,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,256],224784,107.125363,7.765,156612.921552,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,2power16,25,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,512],275984,231.524857,28.255,144927.989517,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,16by16by16,12,[16,16,16],161360,0.025404,0.610,161233.657920,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,16by16by16,13,[16,16,16,2],210736,0.047929,0.671,170919.039311,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,16by16by16,14,[16,16,16,4],210928,0.096541,0.698,169709.473416,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,16by16by16,15,[16,16,16,8],211312,0.192505,0.693,170219.212664,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,16by16by16,16,[16,16,16,16],212080,0.375304,0.756,174621.088079,54.76,-6.43,40.75,6.87
csv,poseidon_w16_d2,16,16,16by16by16,17,[16,16,16,32],263536,0.744738,0.940,175997.395874,60.90,-6.86,59.64,7.36
csv,poseidon_w16_d2,16,16,16by16by16,18,[16,16,16,64],266608,1.465875,1.268,178831.027842,60.95,-7.71,107.56,8.36
csv,poseidon_w16_d2,16,16,16by16by16,19,[16,16,16,128],272752,2.950238,2.638,177710.393389,62.65,-6.91,314.59,7.42
csv,poseidon_w16_d2,16,16,16by16by16,20,[16,16,16,256],285040,5.931544,7.805,176779.602845,67.54,-7.27,1062.20,7.84
csv,poseidon_w16_d2,16,16,16by16by16,21,[16,16,16,512],359536,11.832241,28.217,177240.474348,81.32,-7.28,1627.99,7.85
csv,poseidon_w16_d2,16,16,16by16by16,22,[16,16,16,1024],408688,23.748006,109.558,176617.105178,101.30,-7.34,9054.59,7.92
csv,poseidon_w16_d2,16,16,16by16by16,23,[16,16,16,2048],506992,48.140453,432.174,174252.785319,140.47,-7.63,16939.60,8.26
csv,poseidon_w16_d2,16,16,16by16by16,24,[16,16,16,4096],703600,101.112087,1734.859,165926.907669,213.01,-5.61,22242.15,5.95
