csv,air_type,air_w,air_constraints,label,k,schedule,proof_bytes,prove_s,verify_ms,prove_elems_per_s,delta_size_pct,delta_prove_pct,delta_verify_pct,delta_throughput_pct
csv,poseidon_w16_d2,16,16,32by`6by8,22,[32,16,8,1024],892144,11.248120,10.351,372889.327886,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,32by`6by8,23,[32,16,8,2048],941296,23.187164,19.019,361778.088926,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,32by`6by8,24,[32,16,8,4096],1039600,52.277829,36.632,320924.116421,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,32by`6by8,25,[32,16,8,8192],1265776,129.243818,76.762,259621.174924,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,64by32by16,15,[64,32,16],457712,0.092392,0.969,354664.023485,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,64by32by16,16,[64,32,16,2],484240,0.182305,0.958,359486.217094,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,64by32by16,17,[64,32,16,4],548848,0.352007,1.061,372355.922672,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,64by32by16,18,[64,32,16,8],554416,0.679410,1.099,385840.395763,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,64by32by16,19,[64,32,16,16],650224,1.380418,1.304,379803.787004,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,64by32by16,20,[64,32,16,32],692656,2.776146,1.491,377709.303830,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,64by32by16,21,[64,32,16,64],757360,5.472764,1.857,383197.933677,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,64by32by16,22,[64,32,16,128],888112,10.917318,2.602,384188.128267,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,64by32by16,23,[64,32,16,256],1064944,22.568174,4.095,371700.792906,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,64by32by16,24,[64,32,16,512],1097392,50.335821,6.538,333305.700593,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,64by32by16,25,[64,32,16,1024],1226800,123.955235,10.660,270697.981219,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,16by2by8,11,[16,16,8],189872,0.009820,0.510,208554.863473,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,16by2by8,12,[16,16,8,2],206032,0.013081,0.514,313120.928893,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,16by2by8,13,[16,16,8,4],269296,0.024408,0.633,335621.351598,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,16by2by8,14,[16,16,8,8],274864,0.048238,0.706,339648.943463,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,16by2by8,15,[16,16,8,16],295408,0.091480,0.802,358199.167242,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,16by2by8,16,[16,16,8,32],317680,0.174535,0.961,375490.142232,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,16by2by8,17,[16,16,8,64],422704,0.353587,1.369,370692.361427,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,16by2by8,18,[16,16,8,128],521200,0.701898,2.068,373478.568033,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,16by2by8,19,[16,16,8,256],698032,1.411840,3.415,371350.773700,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,16by2by8,20,[16,16,8,512],710320,2.821683,5.848,371613.651393,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,16by2by8,21,[16,16,8,1024],804784,5.706486,11.140,367503.193965,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,16by2by8,22,[16,16,8,2048],853936,11.470199,19.107,365669.678847,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,16by2by8,23,[16,16,8,4096],952240,23.539626,36.940,356361.143118,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,16by2by8,24,[16,16,8,8192],1158256,53.712685,73.935,312351.094974,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,16by2by8,25,[16,16,8,16384],1611952,138.642376,152.503,242021.472641,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,16by16by16,12,[16,16,16],201008,0.012589,0.558,325376.335544,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,16by16by16,13,[16,16,16,2],288016,0.028693,0.625,285509.742759,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,16by16by16,14,[16,16,16,4],290800,0.048796,0.664,335763.795416,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,16by16by16,15,[16,16,16,8],296368,0.102599,0.718,319380.109407,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,16by16by16,16,[16,16,16,16],307504,0.176542,0.785,371221.234652,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,16by16by16,17,[16,16,16,32],410416,0.353374,1.112,370915.713137,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,16by16by16,18,[16,16,16,64],454960,0.705916,1.442,371352.833994,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,16by16by16,19,[16,16,16,128],544048,1.409732,2.325,371906.127641,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,16by16by16,20,[16,16,16,256],720880,2.825270,3.439,371141.851228,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,16by16by16,21,[16,16,16,512],813808,5.674518,5.811,369573.624542,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,16by16by16,22,[16,16,16,1024],838384,11.534562,10.362,363629.224334,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,16by16by16,23,[16,16,16,2048],887536,23.698879,18.829,353966.451451,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,16by16by16,24,[16,16,16,4096],985840,52.687140,36.841,318430.946664,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,16by16by16,25,[16,16,16,8192],1263088,132.801164,74.147,252666.700230,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,32by`6by8,12,[32,16,8],254384,0.013022,0.605,314547.636189,0.00,0.00,0.00,0.00
